interview__key,num_prod,productos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos
78-29-84-61,3,queso Oaxaca,540,1,,24,1,,1824,"""desuero del queso """"merma""""""",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,1,Gorditas (varios guisados),2500,6,Pieza,240,1,,7000,Falta de refrigeración apropiada y el cliente lo deja.,80,1,,7,,#NULL!,#NULL!,
73-06-08-66,2,Desayunos (Huevo),640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,3,Comida corrida,640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,4,Aguas frescas,1290,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,5,Jugos (frutas de temporada),380,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,6,"Café (de grano, molido)",380,6,Vasos (240 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,1,Birría,20000,1,,1500,1,,12000,Echado a perder o los consumidores lo dejan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,2,Pozole,18000,3,,1000,3,,10000,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,3,Tacos,50000,1,,1300,1,,26000,clientes tiran comida,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,4,Carne Asada,15000,1,,500,1,,18000,no se vendió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,5,Sopes,18000,1,,100,1,,2500,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
64-89-09-35,1,Tortillas,6000,1,,150,1,,2700,Descuido en la calibración de la máquina,150,1,,11,Los regala a un engordado de cerdos,#NULL!,#NULL!,
64-89-09-35,2,Masa,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
02-22-73-77,1,Pollos rostizados,547500,1,,1,6,Porcentaje,100,Pocas ventas o pollo golpeado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
94-39-20-08,1,Tacos,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
22-69-64-75,1,queso,50,1,,5,2,,2000,la caducidad,20,1,,10,,#NULL!,#NULL!,
22-69-64-75,2,crema,60,3,,20,1,,2000,la caducidad,10,1,,9,,#NULL!,#NULL!,
18-62-71-19,1,harina,2,2,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-62-71-19,2,huevo,92,1,,15,1,,1000,pzas rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-62-71-19,3,azúcar,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-55-11-13,1,Pollo fresco,547000,1,,164,1,,5000,que esté golpeado el pollo,164,1,,6,,#NULL!,#NULL!,
81-30-37-04,1,Tamales,2750,6,Pieza,150,6,Pieza,2400,Falta de demanda por cambio de clima (aumentó el calor),125,6,Pieza,3,,125,6,Pieza
28-46-36-32,1,venta de pollo,20000,1,,50,1,,15000,por temporada economica,25,1,,10,,#NULL!,#NULL!,
10-14-92-72,1,arrachera,150,1,,20,1,,2000,por el manejo de preparación,20,1,,9,,#NULL!,#NULL!,
10-14-92-72,2,carne molida,100,1,,5,1,,800,La preparación,5,1,,9,,#NULL!,#NULL!,
10-14-92-72,3,longaniza,200,1,,20,1,,1000,preparación,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
62-92-67-84,1,comida del dia,1000,6,platillos,30,6,platillos,2550,Falta de clientes,30,6,platillos,9,,#NULL!,#NULL!,
88-05-83-73,1,venta de carne de res,60,1,,5,2,,5000,por la grasa y desperdicio,20,1,,10,,#NULL!,#NULL!,
44-28-49-31,1,Espinaca,72,1,,16,1,,128,producto maltratado,16,1,,8,,#NULL!,#NULL!,
44-28-49-31,2,Brócoli,20,1,,6,1,,60,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-28-49-31,3,Lechuga Romana,196,6,piezas,25,6,pzas,375,por que vienen agusanadas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
37-12-48-61,1,pollo,3,2,,9,1,,800,falta de venta y exceso de inventario,4,1,,6,,#NULL!,#NULL!,
37-12-48-61,2,huevo,250,1,,4,1,,80,"piezas rotas, caducidad",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
93-83-50-31,1,Pollo,87360,1,,5460,1,,0,Innecesario,5460,1,,10,,#NULL!,#NULL!,
77-52-96-70,1,naranja,30,1,,5,1,,150,clima,2,1,,10,,#NULL!,#NULL!,
77-52-96-70,2,mandarina,30,1,,10,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,
77-52-96-70,3,guayaba,25,1,,8,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,
45-84-84-07,1,café en grano,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
45-84-84-07,2,pasteles,2,6,pzas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
45-84-84-07,3,tisanas,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-69-78-85,1,pollo,1500,1,,100,1,,4000,caducidad,50,1,,8,,#NULL!,#NULL!,
63-23-60-25,1,pollo fresco,2000,1,,50,1,,15000,menor venta de pollo,20,1,,10,,#NULL!,#NULL!,
12-33-17-05,1,jitomate,7200,1,,10,6,porcentaje,9125,condiciones climáticas,5,6,porcentaje,9,,#NULL!,#NULL!,
12-06-38-41,1,Oaxaca,150,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-06-38-41,2,queso rayado,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-06-38-41,3,panela,84,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-74-49-92,1,carne de cerdo,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-74-49-92,2,pollo,240,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-74-49-92,3,res,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,1,pollo,100,1,,3,1,,200,falta de venta,2,1,,6,,#NULL!,#NULL!,
51-24-94-62,2,papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,3,fresa,40,1,,5,1,,600,frescura de la fruta,5,1,,7,,#NULL!,#NULL!,
51-24-94-62,4,manzana,40,1,,1,1,,50,frescura de la fruta,1,1,,7,,#NULL!,#NULL!,
51-24-94-62,5,platano,35,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,6,uva,30,1,,2,1,,200,caducidad,1,1,,7,,#NULL!,#NULL!,
51-24-94-62,7,salchicha,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,8,queso,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,9,arroz,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,1,pollo,60,1,,2,1,,120,caducidad,1,1,,9,,#NULL!,#NULL!,
78-18-21-65,2,carne de res,90,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,3,queso,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,4,pan,250,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,5,verdura,200,1,,1,1,,50,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
53-73-04-92,1,Carne de res,500,1,,50,1,,6500,poca venta,99,6,campo vacío,10,,#NULL!,#NULL!,
61-92-75-17,1,Chilaquiles,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
61-92-75-17,2,Carne de pollo,8,1,,1,1,,95,Merma,1,1,,7,,#NULL!,#NULL!,
61-92-75-17,3,Carne de res,8,1,,1,1,,100,Merma,1,1,,7,,#NULL!,#NULL!,
61-92-75-17,4,Pan,60,6,Piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,1,jitomate,52,1,,15,1,,240,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,2,cebolla,70,1,,31,1,,496,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,3,papa,60,1,,25,1,,250,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,4,tomate,100,1,,15,1,,248,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,5,calabaza,12,1,,6,1,,90,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,6,tomate,100,1,,31,1,,310,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
97-73-87-30,1,lechuga romana,144,1,,10,6,Porciento,300,Factores climáticos,7,6,Porciento,8,,#NULL!,#NULL!,
36-35-54-94,1,Longaniza,40,1,,8,1,,600,No sé vendio,8,1,,9,,#NULL!,#NULL!,
36-35-54-94,2,Tripa,200,1,,1,1,,400,No sé vendio,1,1,,9,,#NULL!,#NULL!,
20-27-37-35,1,Tortilla de maíz,5475000,1,,1,6,Porciento,100,poca venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
65-10-32-47,1,Migas(Caldo),450,3,,42,3,,700,No sé vendio todo,450,3,,7,,#NULL!,#NULL!,
50-66-00-68,1,Jitomate,728,1,,60,1,,992,merma,62,1,,3,,0,#NULL!,
50-66-00-68,2,Ejote,155,1,,31,1,,620,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-66-00-68,3,cilantro,46,1,,6,1,,75,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-66-00-68,4,calabaza,125,1,,31,1,,372,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-47-19-75,1,Guisados Varios,40,1,,1,1,,200,No sé vendio,1,1,,7,,#NULL!,#NULL!,
44-47-19-75,2,Tortillas,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-47-19-75,3,Frijoles,5,1,,500,6,gramos,60,No sé vendio,500,6,gramos,7,,#NULL!,#NULL!,
60-49-66-43,1,mojarra,50,1,,2,1,,220,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
60-49-66-43,2,cazón,75,1,,2,1,,150,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
60-49-66-43,3,camarón,30,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-51-75-31,1,guayaba,40,1,,8,1,,120,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
31-28-80-45,1,campo vacío,10,2,,10,2,,10000,depende mucho de la temporada,800,1,,7,,#NULL!,#NULL!,
10-44-37-96,1,Huaraches,140,1,,3,1,,50,No sé vendio,3,1,,7,,#NULL!,#NULL!,
10-44-37-96,2,Queso,20,1,,1,1,,120,No sé vendio,1,1,,10,,#NULL!,#NULL!,
47-84-82-42,1,campo vacío,99,6,campo vacío,51,1,,5000,Mal manejo de las entradas y salidas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
86-24-53-95,1,paletas,10800,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
86-24-53-95,2,Aguas,2560,3,,100,3,,3500,por el clima y falta de venta,20,3,,4,,#NULL!,#NULL!,
86-24-53-95,3,helados,2560,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-83-90-61,1,Uvas,224,1,,2,1,,200,El cambio de clima las termina de cocer más rápido,1,1,,8,,#NULL!,#NULL!,
59-83-90-61,2,Peras,80,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-83-90-61,3,Manzana,80,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-83-90-61,4,Kiwis,32,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
81-56-88-97,1,Naranja,10,6,bultos 35 kilos,1,1,,80,Debido a que está de temporada y cambia el estado de la fruta,1,1,,6,,#NULL!,#NULL!,
81-56-88-97,2,Mandarina,10,6,"bultos, 35 kG",1,1,,20,Debido a que se coce muy rápido,1,1,,6,,#NULL!,#NULL!,
81-56-88-97,3,Jitomate,10,6,"caja, 10 kilos",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
